City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
106,blackmans bay,-43.0167,147.3167,9.29000000000002,64,59,1.79,AU,2024-08-28
107,al jawf,29.5,38.75,27.840000000000032,40,6,6.19,SA,2024-08-28
108,mata-utu,-13.2816,-176.1745,26.27000000000004,78,11,3.73,WF,2024-08-28
109,herencia,39.2831,-3.4145,22.07000000000005,39,2,1.42,ES,2024-08-28
110,lorengau,-2.0226,147.2712,28.350000000000023,79,87,6.42,PG,2024-08-28
111,whitehorse,60.7161,-135.0538,11.430000000000007,62,75,7.72,CA,2024-08-28
112,usogorsk,63.4106,48.6872,16.860000000000014,61,83,3.49,RU,2024-08-28
113,arraial do cabo,-22.9661,-42.0278,18.510000000000048,69,3,3.05,BR,2024-08-28
114,gorodishche,48.8045,44.4744,25.49000000000001,29,0,6.0,RU,2024-08-28
115,odesskoye,54.2111,72.9651,18.160000000000025,60,65,3.3,RU,2024-08-28
116,puerto ayora,-0.7393,-90.3518,18.640000000000043,96,60,2.24,EC,2024-08-28
117,atafu village,-8.5421,-172.5159,28.420000000000016,73,16,6.29,TK,2024-08-28
118,makarov,48.6333,142.8,19.650000000000034,82,26,3.23,RU,2024-08-28
119,cabo san lucas,22.8909,-109.9124,26.77000000000004,73,31,2.97,MX,2024-08-28
120,vorgashor,67.5833,63.95,14.890000000000043,79,69,5.53,RU,2024-08-28
121,itoman,26.1247,127.6694,32.43000000000001,81,75,9.26,JP,2024-08-28
122,port mathurin,-19.6833,63.4167,21.33000000000004,68,100,13.28,MU,2024-08-28
123,canico,32.6333,-16.85,22.350000000000023,81,40,3.09,PT,2024-08-28
124,stanley,54.868,-1.6985,14.04000000000002,88,20,2.57,GB,2024-08-28
125,thompson,55.7435,-97.8558,13.090000000000032,62,20,1.03,CA,2024-08-28
126,malango,-2.9627,119.9001,23.700000000000045,89,83,1.54,ID,2024-08-28
127,selfoss,63.9331,-20.9971,8.360000000000014,83,100,3.03,IS,2024-08-28
128,airdrie,55.866,-3.9803,15.150000000000034,92,100,3.03,GB,2024-08-28
129,homer,59.6425,-151.5483,12.090000000000032,84,100,4.63,US,2024-08-28
130,wailua homesteads,22.0669,-159.378,25.439999999999998,80,20,6.17,US,2024-08-28
